Snail_ID,Measure,m,time,pgrowth,Hatch_tag,Alive,Is_Replacement,Treat,Pop,Egg_tag,Condo,Old_Condo,Was_reloaded,Death_date,Sex,Is.Transplant
NCGA770A_320_1,8,20.01,2023-03-13T00:00:00Z,-0.03020924440937378,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,9,20.01,2023-04-09T00:00:00Z,0,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,1,1.595,2022-08-01T00:00:00Z,,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,11,20.48,2023-06-05T00:00:00Z,0.04236120772878049,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,12,20.75,2023-07-02T00:00:00Z,0.048520828678877415,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,13,20.95,2023-08-13T00:00:00Z,0.022841655193261978,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,10,20.23,2023-05-07T00:00:00Z,0.03905942114903471,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,15,21.19,2023-10-09T00:00:00Z,-0.0018146350651448984,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,16,21.68,2023-11-06T00:00:00Z,0.08167906881011433,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,2,4.48,2022-08-28T00:00:00Z,3.899092160509765,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,3,11.72,2022-10-02T00:00:00Z,2.7857349684967003,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,4,15.19,2022-10-16T00:00:00Z,1.8696963395490762,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,5,19.31,2022-12-01T00:00:00Z,0.5230714840739337,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,6,20.02,2023-01-11T00:00:00Z,0.08810873795537244,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,7,20.18,2023-02-13T00:00:00Z,0.02412485211507054,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,14,21.2,2023-09-13T00:00:00Z,0.038273565395630094,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770A_320_1,17,22.73,2023-12-04T00:00:00Z,0.169055099046167,770A,Y,N,NC,GA,320,201,201,N,,female,
NCGA770B_320_94,2,3.73,2022-08-28T00:00:00Z,,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,3,12.34,2022-10-02T00:00:00Z,3.477492231852941,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,6,20.25,2023-01-11T00:00:00Z,0.06470737589834297,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,7,20.22,2023-02-13T00:00:00Z,-0.004492565627378653,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,4,15.95,2022-10-16T00:00:00Z,1.8498502600035271,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,5,19.72,2022-12-01T00:00:00Z,0.4623143468023283,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,11,20.46,2023-06-05T00:00:00Z,0.0526603163021333,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,13,20.53,2023-08-13T00:00:00Z,,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,14,21.2,2023-09-14T00:00:00Z,0.10040646935163267,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,15,22.43,2023-10-09T00:00:00Z,0.22584731913042333,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,16,23.7,2023-11-06T00:00:00Z,0.1968925064166127,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,17,24.34,2023-12-04T00:00:00Z,0.09520972220158352,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,8,20.03,2023-03-13T00:00:00Z,-0.033712401501717615,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,9,20.21,2023-04-09T00:00:00Z,0.03314023734077853,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA770B_320_94,10,20.15,2023-05-07T00:00:00Z,-0.010618161314912555,770B,Y,Y,NC,GA,320,269,269,N,,female,
NCGA771A_320_3,17,26.42,2023-12-04T00:00:00Z,0.09872837295050729,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,1,1.694,2022-08-01T00:00:00Z,,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,15,25.39,2023-10-09T00:00:00Z,0.012138510348158604,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,16,25.7,2023-11-06T00:00:00Z,0.04335080869328767,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,7,21.77,2023-02-13T00:00:00Z,0.022356149304547657,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,8,21.6,2023-03-13T00:00:00Z,-0.02799451136356046,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,9,21.45,2023-04-09T00:00:00Z,-0.025806555891272343,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,10,21.78,2023-05-07T00:00:00Z,0.05454155468123112,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,11,22.44,2023-06-05T00:00:00Z,0.10299425493298653,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,12,24.57,2023-07-02T00:00:00Z,0.3364205757218297,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,13,25.2,2023-08-13T00:00:00Z,0.06029866754246882,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,14,25.31,2023-09-13T00:00:00Z,0.014051245287438618,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,2,5.13,2022-08-28T00:00:00Z,4.189119745553871,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,3,11.24,2022-10-02T00:00:00Z,2.2663667803078047,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,4,13.55,2022-10-16T00:00:00Z,1.3440066720999733,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,5,20.9,2022-12-01T00:00:00Z,0.9465442952752756,771A,Y,N,NC,GA,320,202,202,N,,female,
NCGA771A_320_3,6,21.61,2023-01-11T00:00:00Z,0.0815137203609817,771A,Y,N,NC,GA,320,202,202,N,,female,
