Snail_ID,Hatch_tag,Alive,Is_Replacement,Treat,Pop,Egg_tag,Condo,Old_Condo,Was_reloaded,Death_date,Sex,Is.Transplant,Measure,time,c,Month
NCNC449_300_1,449,Y,N,NC,NC,300,206,206,N,,female,,1,2022-09-05T00:00:00Z,1.666666667,09/22
NCNC449_300_1,449,Y,N,NC,NC,300,206,206,N,,female,,2,2022-10-12T00:00:00Z,1.25,10/22
NCNC449_300_1,449,Y,N,NC,NC,300,206,206,N,,female,,3,2022-11-21T00:00:00Z,0.142857143,11/22
NCNC449_300_1,449,Y,N,NC,NC,300,206,206,N,,female,,4,2023-01-11T00:00:00Z,0.214285714,01/23
NCNC449_300_1,449,Y,N,NC,NC,300,206,206,N,,female,,5,2023-02-06T00:00:00Z,0,02/23
NCNC449_300_1,449,Y,N,NC,NC,300,206,206,N,,female,,6,2023-03-06T00:00:00Z,0.071428571,03/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,1,2022-09-05T00:00:00Z,1.75,09/22
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,2,2022-10-12T00:00:00Z,1.5,10/22
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,3,2022-11-21T00:00:00Z,0.214285714,11/22
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,4,2023-01-11T00:00:00Z,0.071428571,01/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,5,2023-02-06T00:00:00Z,0,02/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,6,2023-03-06T00:00:00Z,0.071428571,03/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,7,2023-04-09T00:00:00Z,0.4285714285,04/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,8,2023-05-01T00:00:00Z,0.4285714285,05/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,9,2023-05-29T00:00:00Z,0.5714285715,06/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,10,2023-06-25T00:00:00Z,0.5714285715,07/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,11,2023-07-30T00:00:00Z,0.9285714285,08/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,12,2023-09-06T00:00:00Z,0.642857143,09/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,13,2023-10-01T00:00:00Z,0.625,10/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,14,2023-10-30T00:00:00Z,0.142857143,11/23
NCNC451_300_3,451,Y,N,NC,NC,300,217,217,N,,male,,15,2023-11-27T00:00:00Z,0.142857143,12/23
NCNC452_300_4,452,Y,N,NC,NC,300,207,207,N,,female,,1,2022-09-05T00:00:00Z,1.166666667,09/22
NCNC452_300_4,452,Y,N,NC,NC,300,207,207,N,,female,,2,2022-10-12T00:00:00Z,1,10/22
NCNC452_300_4,452,Y,N,NC,NC,300,207,207,N,,female,,3,2022-11-21T00:00:00Z,0.285714286,11/22
NCNC452_300_4,452,Y,N,NC,NC,300,207,207,N,,female,,4,2023-01-11T00:00:00Z,0.071428571,01/23
NCNC452_300_4,452,Y,N,NC,NC,300,207,207,N,,female,,5,2023-02-06T00:00:00Z,0,02/23
NCNC452_300_4,452,Y,N,NC,NC,300,207,207,N,,female,,6,2023-03-06T00:00:00Z,0.142857143,03/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,1,2022-09-05T00:00:00Z,2,09/22
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,2,2022-10-12T00:00:00Z,1.25,10/22
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,3,2022-11-21T00:00:00Z,0.071428571,11/22
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,4,2023-01-11T00:00:00Z,0.071428571,01/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,5,2023-02-06T00:00:00Z,0,02/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,6,2023-03-06T00:00:00Z,0.214285714,03/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,7,2023-04-09T00:00:00Z,0.2857142855,04/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,8,2023-05-01T00:00:00Z,0.5714285715,05/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,9,2023-05-29T00:00:00Z,0.642857143,06/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,10,2023-06-25T00:00:00Z,0.9285714285,07/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,11,2023-07-30T00:00:00Z,0.9285714285,08/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,12,2023-09-06T00:00:00Z,0.5714285715,09/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,13,2023-10-01T00:00:00Z,0.625,10/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,14,2023-10-30T00:00:00Z,0.2857142855,11/23
NCNC453_300_5,453,Y,N,NC,NC,300,216,216,N,,male,,15,2023-11-27T00:00:00Z,0.2142857145,12/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,1,2022-09-05T00:00:00Z,1.625,09/22
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,3,2022-11-21T00:00:00Z,0.214285714,11/22
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,4,2023-01-11T00:00:00Z,0.071428571,01/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,5,2023-02-06T00:00:00Z,0,02/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,6,2023-03-06T00:00:00Z,0.071428571,03/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,7,2023-04-09T00:00:00Z,0.357142857,04/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,8,2023-04-30T00:00:00Z,0.4285714285,05/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,9,2023-05-29T00:00:00Z,1.0714285715,06/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,10,2023-06-25T00:00:00Z,1.2857142855,07/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,11,2023-07-30T00:00:00Z,1,08/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,12,2023-09-06T00:00:00Z,0.7142857145,09/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,13,2023-10-01T00:00:00Z,0.6875,10/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,14,2023-10-30T00:00:00Z,0.142857143,11/23
NCNC454_300_6,454,Y,N,NC,NC,300,215,215,N,,male,,15,2023-11-27T00:00:00Z,0,12/23
NCNC455_300_90,455,Y,Y,NC,NC,300,218,218,N,,female,,1,2022-09-05T00:00:00Z,1.5,09/22
NCNC455_300_90,455,Y,Y,NC,NC,300,218,218,N,,female,,2,2022-10-12T00:00:00Z,1,10/22
NCNC455_300_90,455,Y,Y,NC,NC,300,218,218,N,,female,,3,2022-11-21T00:00:00Z,0.071428571,11/22
NCNC455_300_90,455,Y,Y,NC,NC,300,218,218,N,,female,,4,2023-01-11T00:00:00Z,0.142857143,01/23
NCNC455_300_90,455,Y,Y,NC,NC,300,218,218,N,,female,,5,2023-02-06T00:00:00Z,0,02/23
NCNC455_300_90,455,Y,Y,NC,NC,300,218,218,N,,female,,6,2023-03-06T00:00:00Z,0.357142857,03/23
NCNC463_301_8,463,Y,N,NC,NC,301,208,208,N,,female,,1,2022-09-05T00:00:00Z,1.5,09/22
NCNC463_301_8,463,Y,N,NC,NC,301,208,208,N,,female,,2,2022-10-12T00:00:00Z,1.25,10/22
NCNC463_301_8,463,Y,N,NC,NC,301,208,208,N,,female,,3,2022-11-21T00:00:00Z,0.142857143,11/22
NCNC463_301_8,463,Y,N,NC,NC,301,208,208,N,,female,,4,2023-01-11T00:00:00Z,0.071428571,01/23
NCNC463_301_8,463,Y,N,NC,NC,301,208,208,N,,female,,5,2023-02-06T00:00:00Z,0,02/23
NCNC463_301_8,463,Y,N,NC,NC,301,208,208,N,,female,,6,2023-03-06T00:00:00Z,0.071428571,03/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,1,2022-09-05T00:00:00Z,1,09/22
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,2,2022-10-12T00:00:00Z,1,10/22
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,3,2022-11-21T00:00:00Z,0.142857143,11/22
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,4,2023-01-11T00:00:00Z,0,01/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,5,2023-02-06T00:00:00Z,0.071428571,02/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,6,2023-03-06T00:00:00Z,0.071428571,03/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,7,2023-04-09T00:00:00Z,0.4285714285,04/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,8,2023-04-30T00:00:00Z,0.2142857145,05/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,9,2023-05-29T00:00:00Z,0.4285714285,06/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,10,2023-06-25T00:00:00Z,1.4285714285,07/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,11,2023-07-30T00:00:00Z,0.857142857,08/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,12,2023-09-06T00:00:00Z,0.642857143,09/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,13,2023-10-01T00:00:00Z,0.5,10/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,14,2023-10-30T00:00:00Z,0.142857143,11/23
NCNC464_301_91,464,Y,Y,NC,NC,301,218,218,N,,male,,15,2023-11-27T00:00:00Z,0.0714285715,12/23
NCNC465_301_10,465,Y,N,NC,NC,301,209,209,N,,female,,1,2022-09-05T00:00:00Z,2,09/22
NCNC465_301_10,465,Y,N,NC,NC,301,209,209,N,,female,,2,2022-10-12T00:00:00Z,1.75,10/22
NCNC465_301_10,465,Y,N,NC,NC,301,209,209,N,,female,,3,2022-11-21T00:00:00Z,0.214285714,11/22
NCNC465_301_10,465,Y,N,NC,NC,301,209,209,N,,female,,4,2023-01-11T00:00:00Z,0.071428571,01/23
NCNC465_301_10,465,Y,N,NC,NC,301,209,209,N,,female,,5,2023-02-06T00:00:00Z,0,02/23
NCNC465_301_10,465,Y,N,NC,NC,301,209,209,N,,female,,6,2023-03-06T00:00:00Z,0.214285714,03/23
NCNC469_301_14,469,Y,N,NC,NC,301,210,210,N,,female,,1,2022-09-05T00:00:00Z,1.666666667,09/22
NCNC469_301_14,469,Y,N,NC,NC,301,210,210,N,,female,,2,2022-10-12T00:00:00Z,1.25,10/22
NCNC469_301_14,469,Y,N,NC,NC,301,210,210,N,,female,,3,2022-11-21T00:00:00Z,0.357142857,11/22
NCNC469_301_14,469,Y,N,NC,NC,301,210,210,N,,female,,4,2023-01-11T00:00:00Z,0,01/23
